donor_id,donor_name,donor_type,email,first_gift_date,state
DNR-00115,Andrew Shaw MD,Individual,sawyerscott@example.net,2026-03-03,PW
DNR-00116,Smith-Thomas,Organization,charlesharrington@example.com,2024-05-18,MA
DNR-00117,"Schwartz, Santos and Christian",Organization,ofinley@example.net,2023-12-12,FM
DNR-00118,Shelia Johnson,Individual,younggabrielle@example.com,2023-11-18,IN
DNR-00119,"Davis, Good and Hodges",Organization,wallaceheather@example.org,2024-10-24,AZ
DNR-00120,Anthony Howard,Individual,hthomas@example.com,2024-11-16,OK
DNR-00121,"Sparks, Jackson and Miller",Organization,pharvey@example.com,2023-09-20,PW
DNR-00122,"Thomas, Murray and King",Organization,elizabeth74@example.net,2025-11-05,ND
DNR-00123,Jeremy Reed,Individual,danielle64@example.com,2025-04-08,PR
DNR-00124,Zachary Castaneda,Individual,youngashley@example.net,2024-08-22,LA
DNR-00125,Elizabeth Spence DDS,Individual,alan09@example.net,2025-04-04,NM
DNR-00126,Stephanie Parsons,Individual,catherinegomez@example.net,2025-09-18,ID
DNR-00127,"King, Campos and Saunders",Organization,courtneyberger@example.net,2025-03-06,AZ
DNR-00128,Kramer-Johnson,Organization,jessica14@example.com,2023-11-26,WA
DNR-00129,  CURTIS BUCHANAN  ,Individual,alyssa42@example.com,2024-01-21,PW
DNR-00130,Karen Drake,Individual,linda71@example.org,2024-09-09,WV
DNR-00131,Shannon Ramsey,Individual,zcoffey@example.net,2024-03-28,MN
DNR-00132,James Baker,Individual,gibsonemily@example.net,2023-11-18,KS
DNR-00133,Samantha Bentley,Individual,leonardthomas@example.net,2025-07-26,FM
DNR-00134,Erin Bishop,Individual,reidsteven@example.net,2025-12-14,ME
DNR-00135,"Ortiz, Taylor and Shah",Foundation/Trust,wendy11@example.org,2025-03-11,FM
DNR-00136,Jasmine Watson,Individual,umatthews@example.org,2023-07-17,FM
DNR-00137,Brett Burns,Individual,rcrosby@example.org,2025-03-05,UT
DNR-00138,Jeremy Sampson,Individual,cory58@example.net,2024-01-29,MI
DNR-00139,Donald Donaldson,Individual,ndavis@example.net,2024-04-01,SC
DNR-00140,"Maddox, Williams and Cook",Foundation/Trust,kristinharris@example.net,2024-02-05,IL
DNR-00141,"Robinson, Kane and Murphy",Foundation/Trust,kristinacarlson@example.com,2024-05-14,PR
DNR-00142,Dr. Kimberly Lindsey,Individual,guerreroanthony@example.org,2024-09-04,MI
DNR-00143,Cynthia Morris,Individual,josephmartinez@example.com,2024-08-20,NC
DNR-00144,Arthur West,Individual,william17@example.net,2024-12-22,IN
DNR-00145,Amanda Logan,Individual,stephen00@example.com,2024-11-26,PR
DNR-00146,Michael Henry,Individual,fjones@example.com,2023-10-13,PA
DNR-00147,Cameron Weber,Individual,oscar98@example.com,2025-11-14,NH
DNR-00148,Jessica Mcguire,Individual,farrelldebra@example.net,2023-09-29,VA
DNR-00149,  JESSICA BEASLEY  ,Individual,dmorgan@example.com,2024-03-24,MT
DNR-00150,Emily Edwards,Individual,nicholas27@example.org,2024-12-18,CO
DNR-00151,Davis Inc,Foundation/Trust,lisa80@example.net,2025-12-21,OH
DNR-00152,Meagan Jenkins,Individual,uparrish@example.org,2025-11-22,LA
DNR-00153,Heather Lane,Individual,ericolson@example.org,2024-02-15,MI
DNR-00154,Holly Farmer,Individual,lindsaybruce@example.net,2024-05-01,RI
DNR-00155,"Day, Johnson and Hickman",Foundation/Trust,anthony44@example.com,2025-07-26,MI
DNR-00156,Sergio Knight,Individual,vjones@example.net,2024-04-29,AK
DNR-00157,Joseph Bennett,Individual,xpeterson@example.com,2023-09-24,VA
DNR-00158,Frank-Bradley,Organization,wareeric@example.net,2023-09-20,AR
DNR-00159,Denise Stanley,Individual,alawson@example.com,2024-09-03,IL
DNR-00160,Ashley Jordan,Individual,erika97@example.net,2024-01-27,TN
DNR-00161,Daniel Joyce,Individual,smithkevin@example.org,2025-10-10,WI
DNR-00162,David Murphy,Individual,jimenezryan@example.org,2024-05-12,MS
DNR-00163,Crystal Hansen,Individual,charles06@example.org,2024-10-27,NH
DNR-00164,Shannon Johnston,Individual,amckinney@example.com,2024-06-27,DE
DNR-00165,Vincent Jackson,Individual,xcollier@example.org,2023-08-20,NE
DNR-00166,Sanchez PLC,Organization,zwarren@example.com,2025-05-11,WA
DNR-00167,Gary Jackson,Individual,schmidtjames@example.com,2025-10-21,MI
DNR-00168,Sabrina Briggs,Individual,curtisscott@example.org,2024-11-20,PA
DNR-00169,Peter Jones,Individual,kmarshall@example.net,2024-02-07,NV
DNR-00170,Sonia Day,Individual,michelle52@example.com,2023-09-18,CA
DNR-00171,Mark Hogan,Individual,bellcharles@example.com,2024-09-28,NV
DNR-00172,Jacob Mitchell,Individual,gilbertwilliam@example.com,2026-01-28,OR
DNR-00173,Rebecca Huang,Individual,kstout@example.net,2024-10-09,ID
DNR-00174,John Hernandez,Individual,hayeslisa@example.com,2024-07-30,VT
DNR-00175,Matthew Williams,Individual,hritter@example.net,2025-01-21,RI
DNR-00176,Jake Campbell,Individual,rschroeder@example.net,2025-01-22,AR
DNR-00177,Maria Jones,Individual,grantpaul@example.com,2025-09-26,VA
DNR-00178,Tracey Morrison,Individual,mathewaguilar@example.org,2025-05-09,PW
DNR-00179,Collins-Douglas,Foundation/Trust,tanderson@example.org,2024-02-22,ME
DNR-00180,Maria Murphy,Individual,elizabethcalderon@example.net,2024-12-16,TX
DNR-00181,Anna Santiago,Individual,andrew42@example.org,2024-12-25,MA
DNR-00182,  KATELYN PEREZ  ,Individual,ericphillips@example.org,2025-12-06,NY
DNR-00183,"Conley, Stephenson and Johnson",Foundation/Trust,nancy92@example.net,2025-04-03,MS
DNR-00184,Martin Ltd,Organization,jenniferwilliams@example.com,2024-02-22,TX
DNR-00185,Tracy Bishop,Individual,pyoung@example.com,2024-07-24,AS
DNR-00186,Stephanie Lee,Individual,smurray@example.com,2025-12-10,NY
DNR-00187,"  BARNES, MARTIN AND GONZALEZ  ",Organization,moniquewilliams@example.com,2024-08-07,VI
DNR-00188,Timothy Dawson,Individual,mitchellkathryn@example.com,2023-11-21,NV
DNR-00189,Brittany Kim,Individual,lisawilkerson@example.org,2025-05-07,MT
DNR-00190,Jonathan Young,Individual,brooksanthony@example.org,2024-03-12,MP
DNR-00191,Gabriela Thomas,Individual,mitchellmaria@example.net,2025-03-07,MP
DNR-00192,Blake Group,Organization,fgilbert@example.org,2025-10-14,KS
DNR-00193,Conley PLC,Foundation/Trust,srodriguez@example.org,2025-02-25,ME
DNR-00194,David Fowler,Individual,fbrown@example.net,2024-07-27,ND
DNR-00195,Jose Allen,Individual,kellysmith@example.com,2025-08-15,IA
DNR-00196,Chelsea Barnett,Individual,carlos88@example.net,2024-06-21,WY
DNR-00197,Kristen Myers DDS,Individual,qzavala@example.net,2025-03-08,AK
DNR-00198,Kramer-Cooper,Organization,ingramjill@example.com,2023-07-01,DC
DNR-00199,Bell LLC,Organization,mariacohen@example.net,2024-09-03,NJ
DNR-00200,"White, Taylor and Baldwin",Organization,mjohnson@example.org,2025-04-20,WY
DNR-00201,Andrew Mahoney,Individual,ihays@example.com,2025-12-22,KS
DNR-00202,Matthew Mitchell,Individual,glennmartin@example.org,2026-02-24,AS
DNR-00203,Steve Paul,Individual,lmorgan@example.com,2024-06-12,UT
DNR-00204,Richardson-Salinas,Organization,laurie61@example.com,2025-02-01,PA
DNR-00205,Catherine Carter MD,Individual,donna47@example.net,2025-05-17,VT
DNR-00206,Michael Bell,Individual,acostarhonda@example.net,2024-10-24,NE
DNR-00207,William Gould,Individual,lambertrichard@example.net,2024-10-03,AS
DNR-00208,Caitlin Johnson,Individual,ejohnson@example.org,2024-04-27,WI
DNR-00209,  HEIDI HERRING  ,Individual,jacobserika@example.com,2024-11-13,MN
DNR-00210,Billy Taylor,Individual,raymond43@example.org,2023-11-27,AK
DNR-00211,Kathryn Hughes,Individual,greenjorge@example.com,2024-08-02,IL
DNR-00212,Donna Hendricks DDS,Individual,taylorcharles@example.org,2025-08-25,MH
DNR-00213,Yolanda Cochran,Individual,elizabeth18@example.net,2024-11-11,LA
DNR-00214,Sarah Joseph,Individual,laurahicks@example.org,2023-07-12,ID
DNR-00215,Cynthia Snyder,Individual,angela57@example.net,2024-02-04,DC
DNR-00216,Angelica Parker,Individual,xfox@example.com,2024-09-21,GU
DNR-00217,Beth Stewart,Individual,coleerin@example.com,2026-02-06,DC
DNR-00218,Penny Bowman,Individual,katrinaanderson@example.net,2024-11-22,PW
DNR-00219,Sandra Holmes,Individual,fred53@example.com,2024-03-05,NC
DNR-00220,Singleton-King,Organization,david49@example.net,2026-02-06,CO
DNR-00221,Caroline David,Individual,georgeweber@example.net,2025-04-10,MA
DNR-00222,Kristy Bryan,Individual,millerstacy@example.net,2025-12-23,KS
DNR-00223,Pamela Butler,Individual,jimenezcourtney@example.com,2026-04-29,SD
DNR-00224,Karen Ballard,Individual,eevans@example.net,2025-12-30,AR
DNR-00225,Jason Marshall,Individual,catherine55@example.net,2026-02-27,VI
DNR-00226,James Hodges,Individual,floressteven@example.com,2024-11-18,NV
DNR-00227,Thomas Inc,Foundation/Trust,sonia96@example.org,2025-01-18,VI
DNR-00228,Robin Peck,Individual,james27@example.net,2026-03-19,NH
DNR-00229,Koch-Jimenez,Organization,landrywilliam@example.org,2025-01-13,IL
DNR-00230,Amber Campbell,Individual,amitchell@example.org,2025-02-05,NE
DNR-00231,Khan Ltd,Organization,kathryn50@example.com,2025-05-18,AR
DNR-00232,Chloe Tran,Individual,hughesshannon@example.net,2023-12-13,KY
DNR-00233,Lisa Carr,Individual,theresalong@example.com,2024-10-16,OH
DNR-00234,Nicole Gonzalez,Individual,cporter@example.org,2024-05-08,DC
DNR-00235,Regina Stone,Individual,catherinerobertson@example.com,2023-11-09,RI
DNR-00236,James Jensen,Individual,brittney88@example.net,2025-05-08,NM
DNR-00237,Elizabeth Cabrera,Individual,mark16@example.net,2025-10-29,ME
DNR-00238,Molly Watts,Individual,carlsonjoseph@example.net,2025-11-07,WY
DNR-00239,Laura Perez,Individual,silvageorge@example.net,2023-08-10,VA
DNR-00240,Sarah Hernandez,Individual,anthonyvaughan@example.org,2025-08-18,ID
DNR-00241,Alexander Group,Foundation/Trust,robertharris@example.net,2025-06-20,WI
DNR-00242,"Knapp, Salas and Fitzgerald",Foundation/Trust,thorntonapril@example.net,2025-09-06,MD
DNR-00243,"Mendoza, Bennett and Frye",Foundation/Trust,vbarr@example.net,2025-11-05,MI
DNR-00244,Sharon Becker,Individual,chelsea33@example.com,2024-09-24,OH
DNR-00245,Todd Hendrix,Individual,janet75@example.com,2025-01-09,MI
DNR-00246,"Peck, Pope and Hill",Foundation/Trust,berryamy@example.com,2023-08-29,GU
DNR-00247,Raymond Thomas,Individual,robertsjennifer@example.com,2025-10-06,NV
DNR-00248,"Scott, Mendoza and Harris",Foundation/Trust,sarah42@example.org,2026-02-12,RI
DNR-00249,"Matthews, Sanchez and Santiago",Foundation/Trust,danawilliams@example.com,2023-08-25,MA
DNR-00250,"Kennedy, Maldonado and Taylor",Organization,richarddonovan@example.com,2023-08-25,NJ
DNR-00251,Nicole Mitchell,Individual,debbie19@example.org,2025-11-24,ND
DNR-00252,Sarah Johnson,Individual,robertmonroe@example.org,2026-01-31,MP
DNR-00253,French-Lopez,Organization,nancy04@example.net,2024-12-14,PA
DNR-00254,William Mitchell,Individual,ismall@example.net,2024-09-06,NH
DNR-00255,Robert Rivera,Individual,twong@example.org,2025-05-22,AL
DNR-00256,Rachel Bradley,Individual,gregorychase@example.com,2025-08-15,GU
DNR-00257,Robertson-Miller,Foundation/Trust,lopezdonald@example.com,2025-11-10,IA
DNR-00258,James Griffin,Individual,stephanie49@example.net,2023-12-15,OK
DNR-00259,Matthew Schwartz,Individual,contrerassteven@example.org,2023-10-15,MO
DNR-00260,Tammy Barron,Individual,hannah45@example.net,2025-06-16,IN
DNR-00261,Casey Hernandez,Individual,robert87@example.net,2023-11-18,AS
DNR-00262,"Petersen, Gill and Becker",Foundation/Trust,foxallison@example.com,2023-09-21,CA
DNR-00263,Ashley Poole,Individual,ashleyhernandez@example.com,2024-11-18,PR
DNR-00264,Audrey Harris,Individual,gdavis@example.com,2023-08-11,AS
DNR-00265,Chavez PLC,Organization,dbryant@example.net,2024-10-31,NH
DNR-00266,Elizabeth Johnson,Individual,lisa39@example.org,2024-02-20,AZ
DNR-00267,Michael Weaver,Individual,michaelcesar@example.com,2024-09-19,AZ
DNR-00268,Christopher Taylor,Individual,ybrooks@example.com,2024-12-06,VI
DNR-00269,Jamie Miller,Individual,desireebailey@example.org,2024-06-08,ND
DNR-00270,Cameron Irwin,Individual,avilatiffany@example.com,2024-02-20,TX
DNR-00271,"Stephens, Patel and Morrow",Organization,stevenmoore@example.org,2024-05-31,FM
DNR-00272,"Cannon, Johnson and Keller",Organization,allencarlos@example.net,2024-02-07,AZ
DNR-00273,Harper-Warner,Organization,sanchezbradley@example.com,2025-03-30,IN
DNR-00274,"Robinson, Shields and Brown",Foundation/Trust,jim95@example.net,2025-08-07,PA
DNR-00275,Sabrina Young,Individual,valerieboyd@example.com,2024-08-10,ME
DNR-00276,Justin Vargas,Individual,conniesimmons@example.com,2024-11-09,AR
DNR-00277,David-Powers,Organization,heather62@example.com,2025-03-09,MS
DNR-00278,Joshua Allen,Individual,kevinzimmerman@example.com,2024-03-04,PW
DNR-00279,Jason Butler,Individual,paulscott@example.com,2023-09-23,SD
DNR-00280,Nielsen LLC,Organization,nicholsmaria@example.org,2025-11-24,KY
DNR-00281,Nunez-Morrison,Organization,lopezkathleen@example.net,2023-11-19,TN
DNR-00282,Karen Booth,Individual,kevin03@example.org,2025-05-29,WA
DNR-00283,  ZACHARY MENDOZA  ,Individual,heatherpadilla@example.com,2025-11-07,PW
DNR-00284,Frank Campbell,Individual,wferguson@example.com,2024-02-02,KS
DNR-00285,Stephen Owens,Individual,ugill@example.org,2025-07-11,MN
DNR-00286,Angel Shields,Individual,allentran@example.net,2026-01-27,OR
DNR-00287,Elizabeth Gonzalez,Individual,noahwhitaker@example.com,2025-12-08,OH
DNR-00288,Melinda Scott,Individual,plevy@example.net,2025-01-04,NM
DNR-00289,Nicholas Bell,Individual,jenniferfreeman@example.net,2026-03-17,SD
DNR-00290,Kelly Combs,Individual,landryelizabeth@example.org,2024-12-31,MT
DNR-00291,Mark Jones,Individual,albertwagner@example.com,2024-11-14,AR
DNR-00292,Mary Jensen,Individual,bhopkins@example.org,2023-12-25,ND
DNR-00293,"Jenkins, Smith and Bowen",Organization,andre62@example.org,2026-01-09,PW
DNR-00294,Chase Lee,Individual,lisa46@example.org,2026-02-06,MN
DNR-00295,Judy Sanchez,Individual,kevinclayton@example.org,2025-08-15,SD
DNR-00296,Marie Johnson MD,Individual,dtran@example.net,2026-04-08,AL
DNR-00297,"Jackson, Porter and Hamilton",Organization,ariel18@example.org,2024-07-07,IN
DNR-00298,Sean Clay,Individual,enelson@example.net,2025-06-26,KY
DNR-00299,Kristy Johnson,Individual,alexis39@example.org,2025-05-28,WV
DNR-00300,Samantha Hickman,Individual,francisco39@example.com,2025-01-16,TX
DNR-00301,Evelyn Campos,Individual,krystalnorris@example.org,2024-07-26,NY
DNR-00302,Haley Davis,Individual,marypeterson@example.net,2025-10-10,PA
DNR-00303,Raymond Johnson,Individual,kristen77@example.org,2024-11-04,MI
DNR-00304,Jaime Lopez,Individual,nmiller@example.com,2026-04-01,AS
DNR-00305,Benjamin Adams,Individual,odawson@example.org,2023-08-05,WA
DNR-00306,Stewart-Rodriguez,Foundation/Trust,hahnsean@example.com,2024-09-26,CT
DNR-00307,Cody Cole,Individual,fgarcia@example.com,2024-11-10,OH
DNR-00308,Kyle Nguyen,Individual,asmith@example.com,2025-07-25,WI
DNR-00309,Hardy PLC,Organization,ashleyjackson@example.com,2025-06-04,GA
DNR-00310,Eric Snyder,Individual,jacksonjoshua@example.com,2025-05-08,NJ
DNR-00311,Heather Raymond,Individual,mwheeler@example.com,2026-01-15,CT
DNR-00312,Adam Foster,Individual,vbrock@example.com,2024-11-26,MA
DNR-00313,Rodney Curtis,Individual,kevinmorrison@example.net,2024-07-29,ID
DNR-00314,Edwards-Oconnell,Foundation/Trust,kelly79@example.org,2024-07-14,MD
DNR-00315,Ramirez-Hartman,Organization,daniel93@example.net,2026-03-18,ND
DNR-00316,Randall Johnson,Individual,nhahn@example.com,2025-01-30,AS
DNR-00317,Michael Fuentes,Individual,ichambers@example.net,2024-08-01,ME
DNR-00318,Matthew Espinoza,Individual,mjones@example.com,2025-07-09,OR
DNR-00319,Jonathon Knapp,Individual,ystephens@example.com,2023-07-29,UT
DNR-00320,Kimberly Little,Individual,rodriguezjohn@example.net,2024-03-16,MI
DNR-00321,Lonnie Hart,Individual,vrasmussen@example.com,2023-10-20,CT
DNR-00322,David Dixon,Individual,seanmyers@example.net,2024-03-15,OR
DNR-00323,Brittany Cuevas,Individual,agarcia@example.org,2026-04-01,DE
DNR-00324,Monica Bailey,Individual,stanley38@example.com,2023-07-26,MI
DNR-00325,Davis-Bowen,Foundation/Trust,tflores@example.org,2026-02-16,AS
DNR-00326,Alison Cooper,Individual,byrdfrank@example.net,2025-05-28,IA
DNR-00327,Kristen Rivera,Individual,omullen@example.com,2023-10-14,SC
DNR-00328,Martin Reynolds,Individual,mclaughlinnicole@example.com,2026-03-05,OR
DNR-00329,Aaron Lewis,Individual,karen19@example.org,2023-11-11,AS
DNR-00330,Chelsea Nguyen,Individual,qwilson@example.com,2023-11-29,NC
DNR-00331,Emily Price,Individual,wmatthews@example.com,2023-10-18,PR
DNR-00332,Williamson-Cervantes,Organization,samantha91@example.net,2025-03-14,DC
DNR-00333,David Wilson,Individual,heather86@example.com,2024-11-20,PA
DNR-00334,James Lopez,Individual,angelaburns@example.org,2025-10-30,HI
DNR-00335,Jerry Brown,Individual,stephanie72@example.org,2024-10-05,GU
DNR-00336,Justin Delgado,Individual,acohen@example.net,2025-08-18,MP
DNR-00337,Burns-Miller,Organization,flynnjeffrey@example.org,2025-12-23,KY
DNR-00338,Dylan Norman,Individual,hdunn@example.net,2025-11-25,DE
DNR-00339,Joshua Ritter,Individual,wolfscott@example.org,2023-11-01,NE
DNR-00340,Ronald Potter,Individual,nancy07@example.com,2024-01-20,MI
DNR-00341,Angie Grimes,Individual,rowejoel@example.net,2024-08-29,OR
DNR-00342,Shannon Bishop,Individual,imartin@example.org,2024-12-23,GU
DNR-00343,Anthony Bell,Individual,candice25@example.net,2024-05-17,LA
